,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,1,India,234,7,London,Kennington Oval,234/7
1,2,3,1,India,234,7,London,Kennington Oval,234/7
2,3,5,1,India,234,7,London,Kennington Oval,234/7
3,4,7,1,India,234,7,London,Kennington Oval,234/7
4,5,9,1,India,234,7,London,Kennington Oval,234/7
5,6,10,2,India,234,7,London,Kennington Oval,234/7
6,7,14,3,India,234,7,London,Kennington Oval,234/7
7,8,14,3,India,234,7,London,Kennington Oval,234/7
8,9,19,3,India,234,7,London,Kennington Oval,234/7
9,10,25,3,India,234,7,London,Kennington Oval,234/7
10,11,29,4,India,234,7,London,Kennington Oval,234/7
11,12,29,4,India,234,7,London,Kennington Oval,234/7
12,13,36,4,India,234,7,London,Kennington Oval,234/7
13,14,42,4,India,234,7,London,Kennington Oval,234/7
14,15,48,4,India,234,7,London,Kennington Oval,234/7
15,16,54,4,India,234,7,London,Kennington Oval,234/7
16,17,54,4,India,234,7,London,Kennington Oval,234/7
17,18,55,4,India,234,7,London,Kennington Oval,234/7
18,19,58,5,India,234,7,London,Kennington Oval,234/7
19,20,60,5,India,234,7,London,Kennington Oval,234/7
20,21,64,5,India,234,7,London,Kennington Oval,234/7
21,22,68,5,India,234,7,London,Kennington Oval,234/7
22,23,70,5,India,234,7,London,Kennington Oval,234/7
23,24,75,5,India,234,7,London,Kennington Oval,234/7
24,25,77,5,India,234,7,London,Kennington Oval,234/7
25,26,78,5,India,234,7,London,Kennington Oval,234/7
26,27,85,5,India,234,7,London,Kennington Oval,234/7
27,28,96,5,India,234,7,London,Kennington Oval,234/7
28,29,101,5,India,234,7,London,Kennington Oval,234/7
29,30,109,5,India,234,7,London,Kennington Oval,234/7
30,31,114,5,India,234,7,London,Kennington Oval,234/7
31,32,122,5,India,234,7,London,Kennington Oval,234/7
32,33,125,5,India,234,7,London,Kennington Oval,234/7
33,34,129,5,India,234,7,London,Kennington Oval,234/7
34,35,131,5,India,234,7,London,Kennington Oval,234/7
35,36,136,5,India,234,7,London,Kennington Oval,234/7
36,37,137,5,India,234,7,London,Kennington Oval,234/7
37,38,140,5,India,234,7,London,Kennington Oval,234/7
38,39,144,5,India,234,7,London,Kennington Oval,234/7
39,40,150,5,India,234,7,London,Kennington Oval,234/7
40,41,151,5,India,234,7,London,Kennington Oval,234/7
41,42,159,5,India,234,7,London,Kennington Oval,234/7
42,43,167,5,India,234,7,London,Kennington Oval,234/7
43,44,170,5,India,234,7,London,Kennington Oval,234/7
44,45,174,6,India,234,7,London,Kennington Oval,234/7
45,46,193,6,India,234,7,London,Kennington Oval,234/7
46,47,202,6,India,234,7,London,Kennington Oval,234/7
47,48,218,6,India,234,7,London,Kennington Oval,234/7
48,49,228,6,India,234,7,London,Kennington Oval,234/7
49,50,234,7,India,234,7,London,Kennington Oval,234/7
