,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,3,0,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
1,2,4,0,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
2,3,10,0,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
3,4,10,1,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
4,5,11,1,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
5,6,16,1,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
6,7,16,1,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
7,8,18,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
8,9,22,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
9,10,26,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
10,11,34,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
11,12,35,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
12,13,42,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
13,14,51,2,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
14,15,51,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
15,16,52,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
16,17,54,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
17,18,63,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
18,19,69,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
19,20,70,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
20,21,73,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
21,22,79,3,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
22,23,82,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
23,24,85,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
24,25,88,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
25,26,90,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
26,27,92,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
27,28,95,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
28,29,104,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
29,30,107,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
30,31,110,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
31,32,115,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
32,33,122,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
33,34,130,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
34,35,131,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
35,36,135,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
36,37,144,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
37,38,149,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
38,39,154,4,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
39,40,155,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
40,41,159,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
41,42,161,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
42,43,172,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
43,44,179,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
44,45,192,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
45,46,200,5,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
46,47,200,8,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
47,48,205,8,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
48,49,211,8,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
49,50,218,9,Sri Lanka,218,9,Christchurch,Hagley Oval,218/9
