,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,0,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
1,2,5,0,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
2,3,10,1,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
3,4,13,1,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
4,5,14,1,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
5,6,16,1,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
6,7,16,1,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
7,8,20,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
8,9,23,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
9,10,29,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
10,11,34,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
11,12,43,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
12,13,46,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
13,14,50,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
14,15,54,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
15,16,60,2,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
16,17,67,3,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
17,18,73,3,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
18,19,82,3,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
19,20,84,3,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
20,21,87,3,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
21,22,90,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
22,23,95,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
23,24,100,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
24,25,105,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
25,26,106,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
26,27,109,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
27,28,114,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
28,29,117,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
29,30,121,4,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
30,31,124,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
31,32,128,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
32,33,131,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
33,34,134,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
34,35,139,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
35,36,142,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
36,37,154,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
37,38,159,5,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
38,39,164,6,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
39,40,169,6,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
40,41,176,6,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
41,42,178,6,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
42,43,181,6,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
43,44,185,7,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
44,45,194,7,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
45,46,211,7,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
46,47,216,8,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
47,48,223,8,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
48,49,235,9,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
49,50,252,9,Bangladesh,252,9,Bulawayo,Queens Sports Club,252/9
