,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
1,2,5,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
2,3,9,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
3,4,19,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
4,5,23,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
5,6,28,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
6,7,41,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
7,8,46,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
8,9,50,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
9,10,52,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
10,11,61,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
11,12,73,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
12,13,75,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
13,14,82,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
14,15,87,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
15,16,96,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
16,17,99,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
17,18,102,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
18,19,110,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
19,20,115,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
20,21,117,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
21,22,123,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
22,23,127,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
23,24,134,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
24,25,140,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
25,26,145,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
26,27,152,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
27,28,157,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
28,29,163,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
29,30,168,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
30,31,170,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
31,32,171,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
32,33,182,0,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
33,34,185,1,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
34,35,196,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
35,36,212,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
36,37,225,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
37,38,227,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
38,39,233,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
39,40,238,2,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
40,41,247,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
41,42,250,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
42,43,254,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
43,44,261,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
44,45,273,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
45,46,287,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
46,47,302,3,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
47,48,312,4,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
48,49,330,4,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
49,50,343,4,South Africa,343,4,St Kitts,"Warner Park, Basseterre",343/4
