,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,8,0,South Africa,228,9,,Dubai International Cricket Stadium,228/9
1,2,8,0,South Africa,228,9,,Dubai International Cricket Stadium,228/9
2,3,9,1,South Africa,228,9,,Dubai International Cricket Stadium,228/9
3,4,14,1,South Africa,228,9,,Dubai International Cricket Stadium,228/9
4,5,16,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
5,6,20,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
6,7,21,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
7,8,27,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
8,9,33,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
9,10,37,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
10,11,37,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
11,12,41,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
12,13,43,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
13,14,50,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
14,15,56,2,South Africa,228,9,,Dubai International Cricket Stadium,228/9
15,16,60,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
16,17,63,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
17,18,66,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
18,19,74,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
19,20,82,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
20,21,87,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
21,22,93,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
22,23,98,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
23,24,105,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
24,25,107,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
25,26,116,3,South Africa,228,9,,Dubai International Cricket Stadium,228/9
26,27,118,4,South Africa,228,9,,Dubai International Cricket Stadium,228/9
27,28,121,4,South Africa,228,9,,Dubai International Cricket Stadium,228/9
28,29,126,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
29,30,130,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
30,31,130,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
31,32,133,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
32,33,134,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
33,34,137,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
34,35,143,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
35,36,147,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
36,37,149,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
37,38,153,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
38,39,159,5,South Africa,228,9,,Dubai International Cricket Stadium,228/9
39,40,164,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
40,41,167,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
41,42,172,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
42,43,180,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
43,44,184,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
44,45,191,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
45,46,201,6,South Africa,228,9,,Dubai International Cricket Stadium,228/9
46,47,204,7,South Africa,228,9,,Dubai International Cricket Stadium,228/9
47,48,211,8,South Africa,228,9,,Dubai International Cricket Stadium,228/9
48,49,222,8,South Africa,228,9,,Dubai International Cricket Stadium,228/9
49,50,228,9,South Africa,228,9,,Dubai International Cricket Stadium,228/9
