,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,0,Australia,259,6,Bristol,County Ground,259/6
1,2,4,0,Australia,259,6,Bristol,County Ground,259/6
2,3,4,0,Australia,259,6,Bristol,County Ground,259/6
3,4,4,0,Australia,259,6,Bristol,County Ground,259/6
4,5,8,0,Australia,259,6,Bristol,County Ground,259/6
5,6,13,0,Australia,259,6,Bristol,County Ground,259/6
6,7,19,0,Australia,259,6,Bristol,County Ground,259/6
7,8,20,0,Australia,259,6,Bristol,County Ground,259/6
8,9,28,0,Australia,259,6,Bristol,County Ground,259/6
9,10,38,0,Australia,259,6,Bristol,County Ground,259/6
10,11,40,0,Australia,259,6,Bristol,County Ground,259/6
11,12,44,0,Australia,259,6,Bristol,County Ground,259/6
12,13,52,0,Australia,259,6,Bristol,County Ground,259/6
13,14,60,0,Australia,259,6,Bristol,County Ground,259/6
14,15,61,0,Australia,259,6,Bristol,County Ground,259/6
15,16,65,1,Australia,259,6,Bristol,County Ground,259/6
16,17,70,1,Australia,259,6,Bristol,County Ground,259/6
17,18,71,1,Australia,259,6,Bristol,County Ground,259/6
18,19,76,1,Australia,259,6,Bristol,County Ground,259/6
19,20,87,1,Australia,259,6,Bristol,County Ground,259/6
20,21,93,1,Australia,259,6,Bristol,County Ground,259/6
21,22,98,1,Australia,259,6,Bristol,County Ground,259/6
22,23,103,1,Australia,259,6,Bristol,County Ground,259/6
23,24,104,2,Australia,259,6,Bristol,County Ground,259/6
24,25,107,2,Australia,259,6,Bristol,County Ground,259/6
25,26,109,2,Australia,259,6,Bristol,County Ground,259/6
26,27,115,2,Australia,259,6,Bristol,County Ground,259/6
27,28,118,2,Australia,259,6,Bristol,County Ground,259/6
28,29,120,2,Australia,259,6,Bristol,County Ground,259/6
29,30,127,2,Australia,259,6,Bristol,County Ground,259/6
30,31,133,2,Australia,259,6,Bristol,County Ground,259/6
31,32,137,2,Australia,259,6,Bristol,County Ground,259/6
32,33,140,2,Australia,259,6,Bristol,County Ground,259/6
33,34,146,2,Australia,259,6,Bristol,County Ground,259/6
34,35,160,2,Australia,259,6,Bristol,County Ground,259/6
35,36,170,2,Australia,259,6,Bristol,County Ground,259/6
36,37,176,2,Australia,259,6,Bristol,County Ground,259/6
37,38,179,2,Australia,259,6,Bristol,County Ground,259/6
38,39,188,2,Australia,259,6,Bristol,County Ground,259/6
39,40,193,2,Australia,259,6,Bristol,County Ground,259/6
40,41,197,2,Australia,259,6,Bristol,County Ground,259/6
41,42,202,2,Australia,259,6,Bristol,County Ground,259/6
42,43,205,2,Australia,259,6,Bristol,County Ground,259/6
43,44,220,2,Australia,259,6,Bristol,County Ground,259/6
44,45,225,2,Australia,259,6,Bristol,County Ground,259/6
45,46,234,2,Australia,259,6,Bristol,County Ground,259/6
46,47,238,3,Australia,259,6,Bristol,County Ground,259/6
47,48,247,4,Australia,259,6,Bristol,County Ground,259/6
48,49,250,5,Australia,259,6,Bristol,County Ground,259/6
49,50,259,6,Australia,259,6,Bristol,County Ground,259/6
