,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,6,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
1,2,15,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
2,3,22,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
3,4,24,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
4,5,28,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
5,6,34,0,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
6,7,44,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
7,8,48,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
8,9,57,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
9,10,67,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
10,11,72,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
11,12,77,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
12,13,82,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
13,14,87,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
14,15,90,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
15,16,95,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
16,17,99,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
17,18,107,1,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
18,19,109,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
19,20,111,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
20,21,113,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
21,22,126,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
22,23,132,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
23,24,140,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
24,25,150,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
25,26,154,2,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
26,27,157,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
27,28,163,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
28,29,170,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
29,30,171,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
30,31,175,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
31,32,184,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
32,33,189,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
33,34,199,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
34,35,205,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
35,36,211,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
36,37,219,3,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
37,38,221,4,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
38,39,227,4,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
39,40,235,4,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
40,41,240,4,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
41,42,245,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
42,43,255,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
43,44,271,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
44,45,285,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
45,46,297,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
46,47,317,5,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
47,48,330,6,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
48,49,338,7,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
49,50,350,7,England,350,7,Pune,Maharashtra Cricket Association Stadium,350/7
