,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,0,England,287,6,Nottingham,Trent Bridge,287/6
1,2,3,0,England,287,6,Nottingham,Trent Bridge,287/6
2,3,4,1,England,287,6,Nottingham,Trent Bridge,287/6
3,4,4,1,England,287,6,Nottingham,Trent Bridge,287/6
4,5,4,1,England,287,6,Nottingham,Trent Bridge,287/6
5,6,6,1,England,287,6,Nottingham,Trent Bridge,287/6
6,7,12,1,England,287,6,Nottingham,Trent Bridge,287/6
7,8,18,1,England,287,6,Nottingham,Trent Bridge,287/6
8,9,26,1,England,287,6,Nottingham,Trent Bridge,287/6
9,10,31,1,England,287,6,Nottingham,Trent Bridge,287/6
10,11,32,1,England,287,6,Nottingham,Trent Bridge,287/6
11,12,36,1,England,287,6,Nottingham,Trent Bridge,287/6
12,13,43,1,England,287,6,Nottingham,Trent Bridge,287/6
13,14,48,1,England,287,6,Nottingham,Trent Bridge,287/6
14,15,56,1,England,287,6,Nottingham,Trent Bridge,287/6
15,16,61,1,England,287,6,Nottingham,Trent Bridge,287/6
16,17,66,1,England,287,6,Nottingham,Trent Bridge,287/6
17,18,69,1,England,287,6,Nottingham,Trent Bridge,287/6
18,19,71,2,England,287,6,Nottingham,Trent Bridge,287/6
19,20,74,2,England,287,6,Nottingham,Trent Bridge,287/6
20,21,81,2,England,287,6,Nottingham,Trent Bridge,287/6
21,22,86,2,England,287,6,Nottingham,Trent Bridge,287/6
22,23,89,2,England,287,6,Nottingham,Trent Bridge,287/6
23,24,91,2,England,287,6,Nottingham,Trent Bridge,287/6
24,25,97,2,England,287,6,Nottingham,Trent Bridge,287/6
25,26,104,2,England,287,6,Nottingham,Trent Bridge,287/6
26,27,107,2,England,287,6,Nottingham,Trent Bridge,287/6
27,28,112,2,England,287,6,Nottingham,Trent Bridge,287/6
28,29,120,2,England,287,6,Nottingham,Trent Bridge,287/6
29,30,122,2,England,287,6,Nottingham,Trent Bridge,287/6
30,31,130,2,England,287,6,Nottingham,Trent Bridge,287/6
31,32,138,2,England,287,6,Nottingham,Trent Bridge,287/6
32,33,148,2,England,287,6,Nottingham,Trent Bridge,287/6
33,34,149,3,England,287,6,Nottingham,Trent Bridge,287/6
34,35,153,4,England,287,6,Nottingham,Trent Bridge,287/6
35,36,155,4,England,287,6,Nottingham,Trent Bridge,287/6
36,37,158,4,England,287,6,Nottingham,Trent Bridge,287/6
37,38,162,4,England,287,6,Nottingham,Trent Bridge,287/6
38,39,169,4,England,287,6,Nottingham,Trent Bridge,287/6
39,40,173,4,England,287,6,Nottingham,Trent Bridge,287/6
40,41,176,4,England,287,6,Nottingham,Trent Bridge,287/6
41,42,180,4,England,287,6,Nottingham,Trent Bridge,287/6
42,43,188,4,England,287,6,Nottingham,Trent Bridge,287/6
43,44,199,4,England,287,6,Nottingham,Trent Bridge,287/6
44,45,205,4,England,287,6,Nottingham,Trent Bridge,287/6
45,46,211,5,England,287,6,Nottingham,Trent Bridge,287/6
46,47,223,5,England,287,6,Nottingham,Trent Bridge,287/6
47,48,245,5,England,287,6,Nottingham,Trent Bridge,287/6
48,49,265,5,England,287,6,Nottingham,Trent Bridge,287/6
49,50,287,6,England,287,6,Nottingham,Trent Bridge,287/6
