,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,7,0,England,268,9,Manchester,Old Trafford,268/9
1,2,16,0,England,268,9,Manchester,Old Trafford,268/9
2,3,20,0,England,268,9,Manchester,Old Trafford,268/9
3,4,26,0,England,268,9,Manchester,Old Trafford,268/9
4,5,38,0,England,268,9,Manchester,Old Trafford,268/9
5,6,42,0,England,268,9,Manchester,Old Trafford,268/9
6,7,51,0,England,268,9,Manchester,Old Trafford,268/9
7,8,61,0,England,268,9,Manchester,Old Trafford,268/9
8,9,72,0,England,268,9,Manchester,Old Trafford,268/9
9,10,75,0,England,268,9,Manchester,Old Trafford,268/9
10,11,80,0,England,268,9,Manchester,Old Trafford,268/9
11,12,83,0,England,268,9,Manchester,Old Trafford,268/9
12,13,85,1,England,268,9,Manchester,Old Trafford,268/9
13,14,90,2,England,268,9,Manchester,Old Trafford,268/9
14,15,94,2,England,268,9,Manchester,Old Trafford,268/9
15,16,95,3,England,268,9,Manchester,Old Trafford,268/9
16,17,97,3,England,268,9,Manchester,Old Trafford,268/9
17,18,104,3,England,268,9,Manchester,Old Trafford,268/9
18,19,110,3,England,268,9,Manchester,Old Trafford,268/9
19,20,118,3,England,268,9,Manchester,Old Trafford,268/9
20,21,124,3,England,268,9,Manchester,Old Trafford,268/9
21,22,134,3,England,268,9,Manchester,Old Trafford,268/9
22,23,139,3,England,268,9,Manchester,Old Trafford,268/9
23,24,142,3,England,268,9,Manchester,Old Trafford,268/9
24,25,149,3,England,268,9,Manchester,Old Trafford,268/9
25,26,154,3,England,268,9,Manchester,Old Trafford,268/9
26,27,158,3,England,268,9,Manchester,Old Trafford,268/9
27,28,163,3,England,268,9,Manchester,Old Trafford,268/9
28,29,170,3,England,268,9,Manchester,Old Trafford,268/9
29,30,177,3,England,268,9,Manchester,Old Trafford,268/9
30,31,183,3,England,268,9,Manchester,Old Trafford,268/9
31,32,187,3,England,268,9,Manchester,Old Trafford,268/9
32,33,191,3,England,268,9,Manchester,Old Trafford,268/9
33,34,197,3,England,268,9,Manchester,Old Trafford,268/9
34,35,202,3,England,268,9,Manchester,Old Trafford,268/9
35,36,209,3,England,268,9,Manchester,Old Trafford,268/9
36,37,213,4,England,268,9,Manchester,Old Trafford,268/9
37,38,218,4,England,268,9,Manchester,Old Trafford,268/9
38,39,222,4,England,268,9,Manchester,Old Trafford,268/9
39,40,228,5,England,268,9,Manchester,Old Trafford,268/9
40,41,231,5,England,268,9,Manchester,Old Trafford,268/9
41,42,234,6,England,268,9,Manchester,Old Trafford,268/9
42,43,237,6,England,268,9,Manchester,Old Trafford,268/9
43,44,239,6,England,268,9,Manchester,Old Trafford,268/9
44,45,243,8,England,268,9,Manchester,Old Trafford,268/9
45,46,246,8,England,268,9,Manchester,Old Trafford,268/9
46,47,249,8,England,268,9,Manchester,Old Trafford,268/9
47,48,253,8,England,268,9,Manchester,Old Trafford,268/9
48,49,258,9,England,268,9,Manchester,Old Trafford,268/9
49,50,268,9,England,268,9,Manchester,Old Trafford,268/9
