,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,7,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
1,2,12,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
2,3,16,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
3,4,22,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
4,5,31,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
5,6,41,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
6,7,47,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
7,8,48,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
8,9,51,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
9,10,53,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
10,11,64,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
11,12,74,0,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
12,13,75,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
13,14,80,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
14,15,87,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
15,16,89,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
16,17,91,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
17,18,95,1,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
18,19,96,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
19,20,97,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
20,21,100,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
21,22,105,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
22,23,111,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
23,24,115,2,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
24,25,118,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
25,26,122,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
26,27,125,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
27,28,126,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
28,29,130,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
29,30,140,3,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
30,31,140,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
31,32,146,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
32,33,148,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
33,34,152,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
34,35,162,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
35,36,169,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
36,37,178,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
37,38,185,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
38,39,190,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
39,40,202,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
40,41,207,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
41,42,215,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
42,43,219,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
43,44,227,4,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
44,45,232,5,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
45,46,240,5,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
46,47,248,5,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
47,48,251,6,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
48,49,263,7,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
49,50,273,8,Australia,273,8,St Vincent,"Arnos Vale Ground, Kingstown",273/8
