,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,1,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
1,2,1,1,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
2,3,1,1,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
3,4,1,2,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
4,5,2,2,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
5,6,3,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
6,7,4,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
7,8,5,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
8,9,7,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
9,10,7,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
10,11,10,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
11,12,10,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
12,13,11,3,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
13,14,17,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
14,15,18,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
15,16,19,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
16,17,23,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
17,18,26,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
18,19,28,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
19,20,29,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
20,21,30,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
21,22,32,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
22,23,35,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
23,24,38,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
24,25,40,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
25,26,43,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
26,27,47,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
27,28,50,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
28,29,55,4,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
29,30,56,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
30,31,57,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
31,32,58,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
32,33,61,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
33,34,68,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
34,35,75,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
35,36,81,5,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
36,37,85,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
37,38,87,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
38,39,89,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
39,40,90,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
40,41,94,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
41,42,108,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
42,43,110,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
43,44,116,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
44,45,122,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
45,46,125,6,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
46,47,126,7,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
47,48,136,7,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
48,49,147,7,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
49,50,152,8,India,152,8,Wormsley,Sir Paul Getty's Ground,152/8
