,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,2,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
1,2,8,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
2,3,8,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
3,4,13,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
4,5,14,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
5,6,15,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
6,7,22,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
7,8,28,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
8,9,28,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
9,10,38,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
10,11,42,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
11,12,46,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
12,13,49,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
13,14,56,0,New Zealand,285,6,Nelson,Saxton Oval,285/6
14,15,58,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
15,16,61,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
16,17,68,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
17,18,74,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
18,19,75,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
19,20,80,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
20,21,83,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
21,22,85,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
22,23,88,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
23,24,92,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
24,25,106,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
25,26,109,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
26,27,115,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
27,28,124,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
28,29,129,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
29,30,133,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
30,31,143,1,New Zealand,285,6,Nelson,Saxton Oval,285/6
31,32,145,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
32,33,149,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
33,34,151,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
34,35,155,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
35,36,171,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
36,37,173,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
37,38,180,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
38,39,186,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
39,40,193,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
40,41,197,2,New Zealand,285,6,Nelson,Saxton Oval,285/6
41,42,206,3,New Zealand,285,6,Nelson,Saxton Oval,285/6
42,43,209,3,New Zealand,285,6,Nelson,Saxton Oval,285/6
43,44,231,3,New Zealand,285,6,Nelson,Saxton Oval,285/6
44,45,235,4,New Zealand,285,6,Nelson,Saxton Oval,285/6
45,46,249,4,New Zealand,285,6,Nelson,Saxton Oval,285/6
46,47,253,5,New Zealand,285,6,Nelson,Saxton Oval,285/6
47,48,263,5,New Zealand,285,6,Nelson,Saxton Oval,285/6
48,49,268,6,New Zealand,285,6,Nelson,Saxton Oval,285/6
49,50,285,6,New Zealand,285,6,Nelson,Saxton Oval,285/6
