,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
1,2,6,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
2,3,6,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
3,4,10,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
4,5,12,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
5,6,17,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
6,7,19,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
7,8,23,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
8,9,27,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
9,10,33,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
10,11,42,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
11,12,42,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
12,13,50,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
13,14,52,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
14,15,59,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
15,16,63,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
16,17,66,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
17,18,69,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
18,19,74,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
19,20,78,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
20,21,80,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
21,22,82,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
22,23,86,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
23,24,89,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
24,25,91,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
25,26,100,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
26,27,110,1,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
27,28,118,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
28,29,124,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
29,30,126,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
30,31,128,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
31,32,128,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
32,33,137,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
33,34,146,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
34,35,149,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
35,36,154,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
36,37,156,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
37,38,164,2,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
38,39,169,3,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
39,40,174,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
40,41,181,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
41,42,184,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
42,43,192,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
43,44,196,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
44,45,203,4,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
45,46,208,5,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
46,47,221,5,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
47,48,229,6,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
48,49,239,6,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
49,50,246,7,Sri Lanka,246,7,,Rangiri Dambulla International Stadium,246/7
