,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
1,2,2,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
2,3,5,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
3,4,9,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
4,5,11,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
5,6,22,0,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
6,7,24,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
7,8,24,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
8,9,25,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
9,10,31,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
10,11,32,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
11,12,35,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
12,13,37,1,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
13,14,37,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
14,15,43,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
15,16,46,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
16,17,48,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
17,18,55,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
18,19,61,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
19,20,63,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
20,21,71,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
21,22,77,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
22,23,79,2,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
23,24,80,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
24,25,81,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
25,26,83,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
26,27,86,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
27,28,91,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
28,29,97,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
29,30,99,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
30,31,104,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
31,32,110,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
32,33,113,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
33,34,118,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
34,35,121,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
35,36,127,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
36,37,142,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
37,38,152,3,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
38,39,159,4,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
39,40,165,4,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
40,41,172,4,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
41,42,175,5,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
42,43,181,5,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
43,44,189,5,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
44,45,194,5,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
45,46,200,5,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
46,47,208,6,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
47,48,222,6,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
48,49,227,6,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
49,50,240,6,Australia,240,6,Kuala Lumpur,Kinrara Academy Oval,240/6
