,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,0,England,300,8,Manchester,Old Trafford,300/8
1,2,7,0,England,300,8,Manchester,Old Trafford,300/8
2,3,12,0,England,300,8,Manchester,Old Trafford,300/8
3,4,20,0,England,300,8,Manchester,Old Trafford,300/8
4,5,24,0,England,300,8,Manchester,Old Trafford,300/8
5,6,27,0,England,300,8,Manchester,Old Trafford,300/8
6,7,44,0,England,300,8,Manchester,Old Trafford,300/8
7,8,44,0,England,300,8,Manchester,Old Trafford,300/8
8,9,52,0,England,300,8,Manchester,Old Trafford,300/8
9,10,57,1,England,300,8,Manchester,Old Trafford,300/8
10,11,61,1,England,300,8,Manchester,Old Trafford,300/8
11,12,69,1,England,300,8,Manchester,Old Trafford,300/8
12,13,75,1,England,300,8,Manchester,Old Trafford,300/8
13,14,82,1,England,300,8,Manchester,Old Trafford,300/8
14,15,86,2,England,300,8,Manchester,Old Trafford,300/8
15,16,92,2,England,300,8,Manchester,Old Trafford,300/8
16,17,94,2,England,300,8,Manchester,Old Trafford,300/8
17,18,98,2,England,300,8,Manchester,Old Trafford,300/8
18,19,103,2,England,300,8,Manchester,Old Trafford,300/8
19,20,113,2,England,300,8,Manchester,Old Trafford,300/8
20,21,119,2,England,300,8,Manchester,Old Trafford,300/8
21,22,126,2,England,300,8,Manchester,Old Trafford,300/8
22,23,129,2,England,300,8,Manchester,Old Trafford,300/8
23,24,134,2,England,300,8,Manchester,Old Trafford,300/8
24,25,142,2,England,300,8,Manchester,Old Trafford,300/8
25,26,145,2,England,300,8,Manchester,Old Trafford,300/8
26,27,157,2,England,300,8,Manchester,Old Trafford,300/8
27,28,165,2,England,300,8,Manchester,Old Trafford,300/8
28,29,172,2,England,300,8,Manchester,Old Trafford,300/8
29,30,181,2,England,300,8,Manchester,Old Trafford,300/8
30,31,193,2,England,300,8,Manchester,Old Trafford,300/8
31,32,200,2,England,300,8,Manchester,Old Trafford,300/8
32,33,205,2,England,300,8,Manchester,Old Trafford,300/8
33,34,209,3,England,300,8,Manchester,Old Trafford,300/8
34,35,211,3,England,300,8,Manchester,Old Trafford,300/8
35,36,214,3,England,300,8,Manchester,Old Trafford,300/8
36,37,216,3,England,300,8,Manchester,Old Trafford,300/8
37,38,221,3,England,300,8,Manchester,Old Trafford,300/8
38,39,229,3,England,300,8,Manchester,Old Trafford,300/8
39,40,236,4,England,300,8,Manchester,Old Trafford,300/8
40,41,240,4,England,300,8,Manchester,Old Trafford,300/8
41,42,244,4,England,300,8,Manchester,Old Trafford,300/8
42,43,245,4,England,300,8,Manchester,Old Trafford,300/8
43,44,260,4,England,300,8,Manchester,Old Trafford,300/8
44,45,265,4,England,300,8,Manchester,Old Trafford,300/8
45,46,273,5,England,300,8,Manchester,Old Trafford,300/8
46,47,280,7,England,300,8,Manchester,Old Trafford,300/8
47,48,285,7,England,300,8,Manchester,Old Trafford,300/8
48,49,290,7,England,300,8,Manchester,Old Trafford,300/8
49,50,300,8,England,300,8,Manchester,Old Trafford,300/8
