,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,1,0,Pakistan,247,8,Leeds,Headingley,247/8
1,2,9,0,Pakistan,247,8,Leeds,Headingley,247/8
2,3,11,0,Pakistan,247,8,Leeds,Headingley,247/8
3,4,24,1,Pakistan,247,8,Leeds,Headingley,247/8
4,5,24,1,Pakistan,247,8,Leeds,Headingley,247/8
5,6,24,1,Pakistan,247,8,Leeds,Headingley,247/8
6,7,29,1,Pakistan,247,8,Leeds,Headingley,247/8
7,8,32,1,Pakistan,247,8,Leeds,Headingley,247/8
8,9,36,1,Pakistan,247,8,Leeds,Headingley,247/8
9,10,40,1,Pakistan,247,8,Leeds,Headingley,247/8
10,11,45,1,Pakistan,247,8,Leeds,Headingley,247/8
11,12,47,1,Pakistan,247,8,Leeds,Headingley,247/8
12,13,52,1,Pakistan,247,8,Leeds,Headingley,247/8
13,14,60,1,Pakistan,247,8,Leeds,Headingley,247/8
14,15,69,2,Pakistan,247,8,Leeds,Headingley,247/8
15,16,71,2,Pakistan,247,8,Leeds,Headingley,247/8
16,17,75,2,Pakistan,247,8,Leeds,Headingley,247/8
17,18,81,2,Pakistan,247,8,Leeds,Headingley,247/8
18,19,89,2,Pakistan,247,8,Leeds,Headingley,247/8
19,20,98,2,Pakistan,247,8,Leeds,Headingley,247/8
20,21,101,2,Pakistan,247,8,Leeds,Headingley,247/8
21,22,109,2,Pakistan,247,8,Leeds,Headingley,247/8
22,23,111,3,Pakistan,247,8,Leeds,Headingley,247/8
23,24,113,3,Pakistan,247,8,Leeds,Headingley,247/8
24,25,118,3,Pakistan,247,8,Leeds,Headingley,247/8
25,26,123,3,Pakistan,247,8,Leeds,Headingley,247/8
26,27,126,3,Pakistan,247,8,Leeds,Headingley,247/8
27,28,129,3,Pakistan,247,8,Leeds,Headingley,247/8
28,29,134,3,Pakistan,247,8,Leeds,Headingley,247/8
29,30,137,4,Pakistan,247,8,Leeds,Headingley,247/8
30,31,142,4,Pakistan,247,8,Leeds,Headingley,247/8
31,32,148,4,Pakistan,247,8,Leeds,Headingley,247/8
32,33,151,4,Pakistan,247,8,Leeds,Headingley,247/8
33,34,154,5,Pakistan,247,8,Leeds,Headingley,247/8
34,35,159,5,Pakistan,247,8,Leeds,Headingley,247/8
35,36,161,5,Pakistan,247,8,Leeds,Headingley,247/8
36,37,166,5,Pakistan,247,8,Leeds,Headingley,247/8
37,38,169,6,Pakistan,247,8,Leeds,Headingley,247/8
38,39,173,6,Pakistan,247,8,Leeds,Headingley,247/8
39,40,177,6,Pakistan,247,8,Leeds,Headingley,247/8
40,41,180,7,Pakistan,247,8,Leeds,Headingley,247/8
41,42,188,7,Pakistan,247,8,Leeds,Headingley,247/8
42,43,190,7,Pakistan,247,8,Leeds,Headingley,247/8
43,44,200,7,Pakistan,247,8,Leeds,Headingley,247/8
44,45,208,7,Pakistan,247,8,Leeds,Headingley,247/8
45,46,216,7,Pakistan,247,8,Leeds,Headingley,247/8
46,47,219,7,Pakistan,247,8,Leeds,Headingley,247/8
47,48,235,7,Pakistan,247,8,Leeds,Headingley,247/8
48,49,236,8,Pakistan,247,8,Leeds,Headingley,247/8
49,50,247,8,Pakistan,247,8,Leeds,Headingley,247/8
