,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,6,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
1,2,10,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
2,3,15,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
3,4,20,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
4,5,26,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
5,6,28,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
6,7,36,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
7,8,40,0,South Africa,271,8,Wellington,Westpac Stadium,271/8
8,9,41,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
9,10,48,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
10,11,54,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
11,12,63,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
12,13,68,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
13,14,73,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
14,15,74,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
15,16,81,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
16,17,86,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
17,18,90,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
18,19,98,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
19,20,103,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
20,21,106,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
21,22,114,1,South Africa,271,8,Wellington,Westpac Stadium,271/8
22,23,116,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
23,24,123,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
24,25,129,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
25,26,133,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
26,27,135,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
27,28,138,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
28,29,140,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
29,30,146,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
30,31,151,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
31,32,154,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
32,33,156,3,South Africa,271,8,Wellington,Westpac Stadium,271/8
33,34,160,4,South Africa,271,8,Wellington,Westpac Stadium,271/8
34,35,164,4,South Africa,271,8,Wellington,Westpac Stadium,271/8
35,36,168,5,South Africa,271,8,Wellington,Westpac Stadium,271/8
36,37,175,5,South Africa,271,8,Wellington,Westpac Stadium,271/8
37,38,179,5,South Africa,271,8,Wellington,Westpac Stadium,271/8
38,39,182,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
39,40,183,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
40,41,188,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
41,42,193,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
42,43,203,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
43,44,209,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
44,45,223,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
45,46,228,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
46,47,239,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
47,48,248,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
48,49,260,6,South Africa,271,8,Wellington,Westpac Stadium,271/8
49,50,271,8,South Africa,271,8,Wellington,Westpac Stadium,271/8
