,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,6,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
1,2,13,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
2,3,18,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
3,4,21,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
4,5,27,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
5,6,30,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
6,7,32,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
7,8,33,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
8,9,34,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
9,10,41,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
10,11,54,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
11,12,56,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
12,13,59,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
13,14,66,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
14,15,69,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
15,16,77,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
16,17,82,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
17,18,93,0,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
18,19,100,1,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
19,20,102,1,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
20,21,103,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
21,22,119,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
22,23,123,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
23,24,125,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
24,25,130,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
25,26,138,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
26,27,142,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
27,28,150,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
28,29,154,2,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
29,30,155,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
30,31,162,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
31,32,170,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
32,33,173,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
33,34,175,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
34,35,180,3,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
35,36,183,4,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
36,37,190,4,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
37,38,192,4,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
38,39,199,5,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
39,40,210,5,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
40,41,211,5,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
41,42,213,5,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
42,43,217,5,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
43,44,223,6,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
44,45,233,6,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
45,46,237,6,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
46,47,247,6,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
47,48,256,6,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
48,49,261,7,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
49,50,266,9,Sri Lanka,266,9,Bloemfontein,Chevrolet Park,266/9
