,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,1,0,0,Australia,247,5,Hobart,Bellerive Oval,247/5
1,2,5,0,Australia,247,5,Hobart,Bellerive Oval,247/5
2,3,5,0,Australia,247,5,Hobart,Bellerive Oval,247/5
3,4,12,0,Australia,247,5,Hobart,Bellerive Oval,247/5
4,5,20,0,Australia,247,5,Hobart,Bellerive Oval,247/5
5,6,27,0,Australia,247,5,Hobart,Bellerive Oval,247/5
6,7,32,1,Australia,247,5,Hobart,Bellerive Oval,247/5
7,8,35,1,Australia,247,5,Hobart,Bellerive Oval,247/5
8,9,35,1,Australia,247,5,Hobart,Bellerive Oval,247/5
9,10,37,2,Australia,247,5,Hobart,Bellerive Oval,247/5
10,11,41,2,Australia,247,5,Hobart,Bellerive Oval,247/5
11,12,41,2,Australia,247,5,Hobart,Bellerive Oval,247/5
12,13,46,2,Australia,247,5,Hobart,Bellerive Oval,247/5
13,14,47,2,Australia,247,5,Hobart,Bellerive Oval,247/5
14,15,49,2,Australia,247,5,Hobart,Bellerive Oval,247/5
15,16,55,2,Australia,247,5,Hobart,Bellerive Oval,247/5
16,17,56,2,Australia,247,5,Hobart,Bellerive Oval,247/5
17,18,62,2,Australia,247,5,Hobart,Bellerive Oval,247/5
18,19,62,2,Australia,247,5,Hobart,Bellerive Oval,247/5
19,20,62,2,Australia,247,5,Hobart,Bellerive Oval,247/5
20,21,72,2,Australia,247,5,Hobart,Bellerive Oval,247/5
21,22,75,2,Australia,247,5,Hobart,Bellerive Oval,247/5
22,23,87,2,Australia,247,5,Hobart,Bellerive Oval,247/5
23,24,90,2,Australia,247,5,Hobart,Bellerive Oval,247/5
24,25,94,2,Australia,247,5,Hobart,Bellerive Oval,247/5
25,26,96,2,Australia,247,5,Hobart,Bellerive Oval,247/5
26,27,97,3,Australia,247,5,Hobart,Bellerive Oval,247/5
27,28,97,3,Australia,247,5,Hobart,Bellerive Oval,247/5
28,29,103,3,Australia,247,5,Hobart,Bellerive Oval,247/5
29,30,111,3,Australia,247,5,Hobart,Bellerive Oval,247/5
30,31,115,3,Australia,247,5,Hobart,Bellerive Oval,247/5
31,32,117,3,Australia,247,5,Hobart,Bellerive Oval,247/5
32,33,123,3,Australia,247,5,Hobart,Bellerive Oval,247/5
33,34,132,3,Australia,247,5,Hobart,Bellerive Oval,247/5
34,35,139,3,Australia,247,5,Hobart,Bellerive Oval,247/5
35,36,143,3,Australia,247,5,Hobart,Bellerive Oval,247/5
36,37,151,3,Australia,247,5,Hobart,Bellerive Oval,247/5
37,38,154,3,Australia,247,5,Hobart,Bellerive Oval,247/5
38,39,167,3,Australia,247,5,Hobart,Bellerive Oval,247/5
39,40,172,3,Australia,247,5,Hobart,Bellerive Oval,247/5
40,41,176,3,Australia,247,5,Hobart,Bellerive Oval,247/5
41,42,181,3,Australia,247,5,Hobart,Bellerive Oval,247/5
42,43,186,3,Australia,247,5,Hobart,Bellerive Oval,247/5
43,44,195,4,Australia,247,5,Hobart,Bellerive Oval,247/5
44,45,200,4,Australia,247,5,Hobart,Bellerive Oval,247/5
45,46,212,4,Australia,247,5,Hobart,Bellerive Oval,247/5
46,47,218,5,Australia,247,5,Hobart,Bellerive Oval,247/5
47,48,231,5,Australia,247,5,Hobart,Bellerive Oval,247/5
48,49,236,5,Australia,247,5,Hobart,Bellerive Oval,247/5
49,50,247,5,Australia,247,5,Hobart,Bellerive Oval,247/5
