,Unnamed: 0,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
5,5,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
6,6,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
7,7,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
8,8,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
9,9,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
10,10,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
11,11,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
12,12,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
13,13,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
14,14,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
15,15,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
16,16,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
17,17,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
18,18,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
19,19,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
20,20,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
21,21,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
22,22,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
23,23,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
24,24,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
25,25,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
26,26,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
27,27,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
28,28,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
29,29,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
30,30,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
31,31,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
32,32,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
33,33,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
34,34,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
35,35,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
36,36,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
37,37,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
38,38,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
39,39,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
40,40,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
41,41,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
42,42,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
43,43,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
44,44,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
45,45,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
46,46,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
47,47,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
48,48,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
49,49,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
50,0,1,10,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
51,1,2,13,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
52,2,3,21,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
53,3,4,25,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
54,4,5,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
55,5,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
56,6,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
57,7,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
58,8,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
59,9,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
60,10,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
61,11,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
62,12,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
63,13,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
64,14,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
65,15,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
66,16,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
67,17,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
68,18,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
69,19,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
70,20,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
71,21,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
72,22,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
73,23,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
74,24,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
75,25,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
76,26,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
77,27,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
78,28,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
79,29,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
80,30,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
81,31,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
82,32,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
83,33,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
84,34,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
85,35,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
86,36,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
87,37,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
88,38,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
89,39,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
90,40,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
91,41,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
92,42,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
93,43,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
94,44,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
95,45,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
96,46,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
97,47,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
98,48,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
99,49,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
100,50,1,10,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
101,51,2,13,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
102,52,3,21,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
103,53,4,25,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
104,54,5,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
105,55,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
106,56,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
107,57,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
108,58,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
109,59,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
110,60,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
111,61,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
112,62,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
113,63,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
114,64,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
115,65,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
116,66,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
117,67,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
118,68,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
119,69,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
120,70,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
121,71,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
122,72,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
123,73,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
124,74,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
125,75,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
126,76,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
127,77,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
128,78,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
129,79,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
130,80,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
131,81,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
132,82,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
133,83,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
134,84,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
135,85,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
136,86,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
137,87,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
138,88,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
139,89,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
140,90,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
141,91,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
142,92,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
143,93,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
144,94,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
145,95,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
146,96,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
147,97,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
148,98,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
149,99,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
150,100,1,10,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
151,101,2,13,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
152,102,3,21,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
153,103,4,25,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
154,104,5,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
155,105,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
156,106,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
157,107,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
158,108,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
159,109,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
160,110,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
161,111,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
162,112,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
163,113,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
164,114,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
165,115,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
166,116,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
167,117,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
168,118,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
169,119,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
170,120,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
171,121,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
172,122,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
173,123,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
174,124,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
175,125,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
176,126,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
177,127,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
178,128,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
179,129,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
180,130,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
181,131,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
182,132,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
183,133,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
184,134,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
185,135,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
186,136,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
187,137,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
188,138,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
189,139,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
190,140,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
191,141,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
192,142,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
193,143,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
194,144,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
195,145,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
196,146,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
197,147,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
198,148,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
199,149,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
200,150,1,10,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
201,151,2,13,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
202,152,3,21,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
203,153,4,25,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
204,154,5,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
205,155,6,28,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
206,156,7,31,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
207,157,8,35,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
208,158,9,49,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
209,159,10,52,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
210,160,11,54,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
211,161,12,61,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
212,162,13,70,0,Hong Kong,298,5,Dubai,ICC Academy,298/5
213,163,14,74,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
214,164,15,76,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
215,165,16,77,1,Hong Kong,298,5,Dubai,ICC Academy,298/5
216,166,17,78,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
217,167,18,79,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
218,168,19,80,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
219,169,20,82,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
220,170,21,90,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
221,171,22,95,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
222,172,23,104,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
223,173,24,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
224,174,25,108,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
225,175,26,115,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
226,176,27,120,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
227,177,28,132,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
228,178,29,138,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
229,179,30,148,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
230,180,31,152,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
231,181,32,154,2,Hong Kong,298,5,Dubai,ICC Academy,298/5
232,182,33,155,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
233,183,34,162,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
234,184,35,166,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
235,185,36,171,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
236,186,37,175,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
237,187,38,186,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
238,188,39,197,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
239,189,40,206,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
240,190,41,213,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
241,191,42,225,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
242,192,43,229,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
243,193,44,239,3,Hong Kong,298,5,Dubai,ICC Academy,298/5
244,194,45,246,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
245,195,46,259,4,Hong Kong,298,5,Dubai,ICC Academy,298/5
246,196,47,266,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
247,197,48,275,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
248,198,49,285,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
249,199,50,298,5,Hong Kong,298,5,Dubai,ICC Academy,298/5
